"case_number","date","year","month","time","date_time","crime_code","crime","block","street","type","beat","command","weapon","motivation","number_of_suspects","suspect","victim_count","victim_other","injury","suspect_race_0","suspect_race_1","suspect_race_2","suspect_sex_0","suspect_sex_1","suspect_sex_2","victim_race_0","victim_race_1","victim_race_2","victim_race_3","victim_sex_0","victim_sex_1","victim_sex_2","victim_sex_3"
"22021697","2022-05-17","2022","5","16:00:00","2022-05-17","242/422.6 PC","Battery","500.0","W. Date","St","528","Central","Hands, Fists, Feet","Sex","1","Unknown","1.0","","None","W","","","M","","","W","","","","F","","",""
"22023185","2022-05-17","2022","5","07:14:18","2022-05-17","242/422.6 PC","Battery","1100.0","Front","St","524","Central","Hands, Fists, Feet","Race","1","Known","1.0","","Minor","B","","","M","","","W","","","","M","","",""
"22021656","2022-05-18","2022","5","19:22:00","2022-05-18","422.6/422 PC","Threat","9000.0","Kirby","Ct","242","Northeastern","None","Race","1","Known","3.0","","None","W","","","M","","","A","A","A","","F","M","M",""
"22022917","2022-05-27","2022","5","10:50:00","2022-05-27","245/422.6 PC","Assault","5100.0","Muir","Ave","614","Western","Other Dangerous Object","Race","1","Known","1.0","","None","W","","","M","","","H","","","","M","","",""
"22025796","2022-06-14","2022","6","12:27:00","2022-06-14","245/422.6 PC","Assault","5600.0","Mission Center","Rd","315","Eastern","Knife","Sex","1","Unknown","2.0","","None","W","","","M","","","W","W","","","M","M","",""
"22026448","2022-06-18","2022","6","11:55:00","2022-06-18","69/422.6/3056 PC","Battery","3800.0","5th","Ave","627","Western","Hands, Fists, Feet","Race/Sex","1","Known","1.0","","None","B","","","M","","","B","","","","M","","",""
"22026593","2022-06-19","2022","6","15:46:00","2022-06-19","245/422.7/594 PC","Assault","1000.0","University","Ave","627","Western","Other Dangerous Object","Race","1","Known","1.0","","None","W","","","M","","","B","","","","M","","",""
"22027264","2022-06-23","2022","6","22:18:21","2022-06-23","594/422.6 PC","Vandalism","11800.0","Arborlake","Way","241","Northeastern","None","Sex","1","Unknown","1.0","","None","Unk","","","Unk","","","W","","","","F","","",""
"22028847","2022-07-04","2022","7","21:03:00","2022-07-04","417/422.6 PC","Threat","6800.0","Akins","Ave","433","Southeastern","None","Race","1","Known","1.0","","None","H","","","M","","","B","","","","M","","",""
"22029024","2022-07-06","2022","7","20:46:59","2022-07-06","594/417 PC","Assault","3600.0","Highland","Ave","833","Mid-City","Firearm","Race","1","Known","2.0","","None","W","","","M","","","H","H","","","F","M","",""
"22032875","2022-07-31","2022","7","03:36:00","2022-07-31","243 PC","Battery","700.0","Grand","Ave","122","Northern","Other Dangerous Object","Sex","1","Unknown","1.0","","Minor","W","","","M","","","H","","","","M","","",""
"22033252","2022-08-02","2022","8","12:35:00","2022-08-02","242/368 PC","Battery","500.0","14th","St","521","Central","Hands, Fists, Feet","Sex","1","Known","1.0","","Minor","B","","","M","","","F","","","","H","","",""
"22033761","2022-08-05","2022","8","16:34:04","2022-08-05","417 PC","Assault","1600.0","Paseo Aurora","","725","Southern","Knife","Race","1","Known","2.0","","None","H","","","M","","","B","B","","","M","M","",""
"22033872","2022-08-06","2022","8","11:26:51","2022-08-06","594/242 PC","Battery","2000.0","1st","Ave","529","Central","Hands, Fists, Feet","Religion","2","Unknown","3.0","","Minor","W","W","","F","M","","W","W","A","","M/","M","M",""
"22035410","2022-08-15","2022","8","21:00:13","2022-08-15","594 PC","Vandalism","13000.0","Paseo Lucido","","234","Northeastern","None","Race","unk","Unknown","1.0","School","","Unk","","","Unk","","","","","","","","","",""
"22037389","2022-08-29","2022","8","13:12:52","2022-08-29","417/422 PC","Assault","7000.0","Levant","St ","621","Western","Knife","Race","1","Known","1.0","","None","W","","","M","","","B","","","","F","","",""
"22033785","2022-08-30","2022","8","19:47:00","2022-08-30","422.6 PC","Assault","1900.0","Bacon","St","614","Western","Hands, Fists, Feet","Race","1","Known","1.0","","Minor","W","","","M","","","B","","","","M","","",""
"22039475","2022-09-11","2022","9","17:28:57","2022-09-11","243(A)/422.6(A) PC","Battery","300.0","Date","St","529","Central","Hands, Fists, Feet","Race","2","Known","1.0","","Minor","W","W","","M","M","","H","","","","M","","",""
"22041551","2022-09-25","2022","9","19:19:19","2022-09-25","243D/368 PC/422.6(A)","Battery","12000.0","Scripps Summit","Dr","246","Northeastern","Hands, Fists, Feet","Race","1","Known","1.0","","Minor","M","","","M","","","M","","","","M","","",""
"22042944","2022-10-04","2022","10","05:23:41","2022-10-04","245/422.6/3056 PC","Assault","7600.0","Hazard Center","Dr","315","Eastern","Other Dangerous Object","Sex","1","Known","1.0","","Hospital","B","","","M","","","H","","","","M","","",""
"22043518","2022-10-07","2022","10","07:50:00","2022-10-07","422 PC","Threat","5300.0","Javier","St","111","Northern","None","Race","1","Known","2.0","","None","W","","","M","","","H","H","","","F","M","",""
"22044696","2022-10-14","2022","10","13:30:00","2022-10-14","243(A) PC","Battery","1200.0","Market","St","521","Central","Hands, Fists, Feet","Race","1","Known","1.0","","None","W","","","M","","","B","","","","F","","",""
